ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
ทชภณ ช่างประดิษฐ์,2568,Chonburi PAO Table Tennis Open 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2568,CHIANG RAI OPEN 2025,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,SEA STAR
ทชภณ ช่างประดิษฐ์,2567,SET Table Tennis Club Championships 2024,ประเภททีมเยาวชนชายอายุไม่เกิน   15 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ทชภณ ช่างประดิษฐ์,2567,All Thailand2024 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2567,All Thailand 2024 Circuit 2,ประเภทเยาวชนชายคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2566,King Cup 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน   15 ปี,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ทชภณ ช่างประดิษฐ์,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนชายอายุไม่เกิน   13 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ทชภณ ช่างประดิษฐ์,2566,All Thailand 2023 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2566,All Thailand 2023 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2566,BUTTERFLY & SISB OPEN 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2566,Chonburi PAO Table Tennis Open 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2566,Loei Table Tennis Open 2023,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2566,CHIANGMAI PINGPONG FOR FUN II,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
ทชภณ ช่างประดิษฐ์,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนชายอายุไม่เกิน   13 ปี,ตำแหน่งที่ 3,BP 1
ทชภณ ช่างประดิษฐ์,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนชายอายุไม่เกิน  13 ปี,ชนะเลิศ,NSM
ทชภณ ช่างประดิษฐ์,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,อิมพีเรียล สำโรง
ทชภณ ช่างประดิษฐ์,2564,King Cup 2021,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 11 ปี ,รองชนะเลิศ,BP
ทนงศักดิ์ จงสุขสถิตย์พันธ์,2567,Chonburi PAO Table Tennis Open 2024,ประเภทชายเดี่ยวอายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,NCN TABEL TENNIS TEAM
ทนงศักดิ์ จงสุขสถิตย์พันธ์,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 40 – 49 ปี,รองชนะเลิศ,NCN TABEL TENNIS TEAM A
ทรัพย์อนันต์ หาญกิตติมงคล,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
ทวี รัษฎานุกูล,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมชายอายุ 60 - 64 ปี,รองชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ M602
ทอฟ้าใหม่ อิ่มละมัย,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 17 ปี,รองชนะเลิศ,ไทยรุ่ง A
ทักษิณ ประชุมฉลาด,2568,CHIANG RAI OPEN 2025,ประเภทชายคู่,รองชนะเลิศ,NEWWAY
ทัตธน เทพจัน,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนชายอายุไม่เกิน 17 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
ทัศนีย์ ผลิตนนท์เกียรติ,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 60 – 64 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ทัศนีย์ ผลิตนนท์เกียรติ,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล A
ทัศนีย์ ผลิตนนท์เกียรติ,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,smc
ทัศนีย์ ผลิตนนท์เกียรติ,2565,M Electrolyte Master Club Table Tennis Championships 2021,ประเภททีมหญิงอายุ 50 – 59 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W501
ทัศนีย์ ผลิตนนท์เกียรติ,2565,M Electrolyte Master Table Tennis Club Championships 2022,ประเภททีมหญิงอายุ 50 – 59 ปี,ตำแหน่งที่ 3,smc
ทัศนีย์ ผลิตนนท์เกียรติ,2565,Master Table Tennis 2022 Circuit 1,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,Police V
ทำนอง นวมสุวรรณ,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 40 – 49 ปี,ตำแหน่งที่ 3,ITC GLOBAL ITC GLOBAL 409
ทิชาพัชร์ ฉัตรพัฒนศิริ,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 9 ปี,ตำแหน่งที่ 3,เมืองทอง B
ทิพยาภรณ์ จินดาอินทร์,2568,SET Table Tennis Club Championships 2025,ประเภททีมเยาวชนหญิงอายุไม่เกิน 17 ปี,ตำแหน่งที่ 3,NCN TABEL TENNIS TEAM NCN
ทิพยาภรณ์ จินดาอินทร์,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทเยาวชนหญิงเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสอิมพีเรียลสำโรง
ทิพยาภรณ์ จินดาอินทร์,2565,King Cup 2022,ประเภทเยาวชนหญิงคู่อายุ 12 - 15  ปี,ตำแหน่งที่ 3,สโมสรธารสุวรรณ
ทิพยาภรณ์ จินดาอินทร์,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนหญิงอายุไม่เกิน   13 ปี,ตำแหน่งที่ 3,สโมสรธารสุวรรณ เอ
ทิพา ประสิทธิ์รัมย์,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมหญิงทั่วไป,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ A
เทพชัย สงวนสิน,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทชายเดี่ยวอายุ 65 ปี ขึ้นไป,รองชนะเลิศ,ปิงปองอาวุโสตำรวจ
เทพชัย สงวนสิน,2567,King Cup 2024,ประเภทชายเดี่ยวอายุ 60 ปี ขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ
